id,title,description,availability,condition,price,link,image_link,brand,google_product_category
"nova-style-miroir-victoria","Nova Style : Miroir VICTORIA","Nova Style : Miroir VICTORIA","in stock","new","1100 MAD","https://novastyle.ma/produits/nova-style-miroir-victoria/","https://novastyle.ma/images/nova-style-miroir-victoria/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-bloom","Salle de bain Nova Style : Miroir BLOOM","Salle de bain Nova Style : Miroir BLOOM","in stock","new","500 MAD","https://novastyle.ma/produits/nova-style-miroir-bloom/","https://novastyle.ma/images/nova-style-miroir-bloom/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-magnum-sdb","Nova Style : Miroir MAGNUM SDB","Nova Style : Miroir MAGNUM SDB","in stock","new","500 MAD","https://novastyle.ma/produits/nova-style-miroir-magnum-sdb/","https://novastyle.ma/images/nova-style-miroir-magnum-sdb/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-ensemble-console-et-miroir","NOVA STYLE : Ensemble Console et Miroir","NOVA STYLE : Ensemble Console et Miroir","in stock","new","4999 MAD","https://novastyle.ma/produits/nova-style-ensemble-console-et-miroir/","https://novastyle.ma/images/nova-style-ensemble-console-et-miroir/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-deux-miroirs-anfa-medina","miroir salle de bain avec led Nova Style : Deux Miroirs Anfa & Medina","miroir salle de bain avec led Nova Style : Deux Miroirs Anfa & Medina","in stock","new","1000 MAD","https://novastyle.ma/produits/nova-style-deux-miroirs-anfa-medina/","https://novastyle.ma/images/nova-style-deux-miroirs-anfa-medina/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"miroir-salle-de-bain-nova-style-miroir-pear-ii-cm","miroir salle de bain Nova Style : Miroir PEAR II CM","miroir salle de bain Nova Style : Miroir PEAR II CM","in stock","new","1500 MAD","https://novastyle.ma/produits/miroir-salle-de-bain-nova-style-miroir-pear-ii-cm/","https://novastyle.ma/images/miroir-salle-de-bain-nova-style-miroir-pear-ii-cm/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-deux-miroirs-triples","Nova Style : Trois Miroirs TRIPLES","Nova Style : Trois Miroirs TRIPLES","in stock","new","1300 MAD","https://novastyle.ma/produits/nova-style-deux-miroirs-triples/","https://novastyle.ma/images/nova-style-deux-miroirs-triples/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"miroir-rectangulaire-bright-ii","Miroir Rectangulaire Bright II","Miroir Rectangulaire Bright II","in stock","new","800 MAD","https://novastyle.ma/produits/miroir-rectangulaire-bright-ii/","https://novastyle.ma/images/miroir-rectangulaire-bright-ii/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-rectangulaire","Nova Style : Miroir RECTANGULAIRE","Nova Style : Miroir RECTANGULAIRE","in stock","new","500 MAD","https://novastyle.ma/produits/nova-style-miroir-rectangulaire/","https://novastyle.ma/images/nova-style-miroir-rectangulaire/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-pentagone-2","Nova Style : Miroir PENTAGONE 2","Nova Style : Miroir PENTAGONE 2","in stock","new","850 MAD","https://novastyle.ma/produits/nova-style-miroir-pentagone-2/","https://novastyle.ma/images/nova-style-miroir-pentagone-2/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-vortex","Miroir de salon Casablanca Nova Style : Miroir Vortex","Miroir de salon Casablanca Nova Style : Miroir Vortex","in stock","new","650 MAD","https://novastyle.ma/produits/nova-style-miroir-vortex/","https://novastyle.ma/images/nova-style-miroir-vortex/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-halo","Miroir de salle de bain Nova Style : Miroir HALO","Miroir de salle de bain Nova Style : Miroir HALO","in stock","new","500 MAD","https://novastyle.ma/produits/nova-style-miroir-halo/","https://novastyle.ma/images/nova-style-miroir-halo/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-pear","Nova Style : Miroir PEAR","Nova Style : Miroir PEAR","in stock","new","600 MAD","https://novastyle.ma/produits/nova-style-miroir-pear/","https://novastyle.ma/images/nova-style-miroir-pear/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-eclipse-bright","Nova Style : Miroir ÉCLIPSE BRIGHT","Nova Style : Miroir ÉCLIPSE BRIGHT","in stock","new","450 MAD","https://novastyle.ma/produits/nova-style-miroir-eclipse-bright/","https://novastyle.ma/images/nova-style-miroir-eclipse-bright/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-totem","Nova Style : Miroir TOTEM","Nova Style : Miroir TOTEM","in stock","new","600 MAD","https://novastyle.ma/produits/nova-style-miroir-totem/","https://novastyle.ma/images/nova-style-miroir-totem/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-luxalight","Nova Style : Miroir LUXALIGHT","Nova Style : Miroir LUXALIGHT","in stock","new","420 MAD","https://novastyle.ma/produits/nova-style-miroir-luxalight/","https://novastyle.ma/images/nova-style-miroir-luxalight/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
"nova-style-miroir-elvis-woody","Nova Style : Miroir ELVIS WOODY","Nova Style : Miroir ELVIS WOODY","in stock","new","1600 MAD","https://novastyle.ma/produits/nova-style-miroir-elvis-woody/","https://novastyle.ma/images/nova-style-miroir-elvis-woody/1.webp","Nova Style","Home & Garden > Decor > Mirrors"
